Curation	Variable ID	Variable name	Variable synonyms	Context of use	Growth stage	Variable status	Variable Xref	Institution	Scientist	Date	Language	Crop	Trait ID	Trait name	Trait class	Trait description	Trait synonyms	Main trait abbreviation	Alternative trait abbreviations	Entity	Attribute	Trait status	Trait Xref	Method ID	Method name	Method class	Method description	Method reference	Formula	Scale ID	Scale name	Scale class	Decimal places	Lower limit	Upper limit	Scale Xref	Category 1	Category 2	Category 3	Category 4	Category 5	Category 6	Category 7	Category 8	Category 9	Category 10
 	 	GH_E_1to3	unspecified	Trial evaluation		NA	NA	IITA	Michael Abberton?	 	EN	Bambara groundnut	 	Growth habit	Morphological trait	A qualitative description of the growth habit of the plant.	unspecified	GH	NA	Plant	growth habit	NA	unspecified	 	Growth habit - Estimation	Estimation	"Growth habit assessment. Usually recorded 10 weeks after planting, based on the 4th petiole (P)/4th internode (I) length ratio (P/I)."	unspecified	unspecified	 	1-3 Growth habit scale	Nominal	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	TLfltSh_E_1to5	unspecified	Nursery evaluation		NA	NA	IITA	Michael Abberton?	 	EN	Bambara groundnut	 	Terminal leaflet shape	Morphological trait	The shape of terminal leaflet.	unspecified	TLfltSh	NA	Terminal leaflet	shape	NA	unspecified	 	Terminal leaflet shape - Estimation	Estimation	Observe the shape of the terminal leaflet and rate it.	unspecified	unspecified	 	1-5 Leaflet shape scale	Nominal	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PSh_E_1to5	unspecified	"Nursery evaluation, Trial evaluation"	Post-Harvest	NA	NA	IITA	Michael Abberton?	 	EN	Bambara groundnut	 	Pod shape	Morphological trait	The shape of pod.	unspecified	PSh	NA	Pod	shape	NA	unspecified	 	Pod shape - Estimation	Estimation	"Observe pod shape and rate it. Recorded on the basis of one-seeded pod, within two months after harvest."	unspecified	unspecified	 	1-5 Pod shape scale	Nominal	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	Ptext_E_1to4	unspecified	"Nursery evaluation, Trial evaluation"	Post-Harvest	NA	NA	IITA	Michael Abberton?	 	EN	Bambara groundnut	 	Pod texture	Morphological trait	The texture of pod.	unspecified	Ptext	NA	Pod	texture	NA	unspecified	 	Pod texture - Estimation	Estimation	Observe texture and rate it. Recorded within two months after harvest.	unspecified	unspecified	 	1-4 Pod texture scale	Nominal	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	SdSh_E_1to3	unspecified	"Nursery evaluation, Trial evaluation"	Post-Harvest	NA	NA	IITA	Michael Abberton?	 	EN	Bambara groundnut	 	Seed shape	Morphological trait	The shape of seed.	unspecified	SdSh	NA	Seed	shape	NA	unspecified	 	Seed shape - Estimation	Estimation	"Observe seed shape and rate it. Recorded on the basis of seeds from one-seeded pod, within two months after harvest."	unspecified	unspecified	 	1-3 Seed shape scale	Nominal	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	TLfltLng_M_mm	unspecified	"Nursery evaluation, Trial evaluation"		NA	NA	IITA	Michael Abberton?	 	EN	Bambara groundnut	 	Terminal leaflet length	Morphological trait	The length of the terminal leaflet.	unspecified	TLfltLng	NA	Terminal leaflet	length	NA	unspecified	 	Terminal leaflet length - Measurement	Measurement	Measure terminal leaflet length and record it. Usually recorded 10 weeks after planting; average length of three leaves at the fourth node of five healthy plants.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	TLfltWid_M_mm	unspecified	"Nursery evaluation, Trial evaluation"		NA	NA	IITA	Michael Abberton?	 	EN	Bambara groundnut	 	Terminal leaflet width	Morphological trait	The width of the terminal leaflet.	unspecified	TLfltWid	NA	Terminal leaflet	width	NA	unspecified	 	Terminal leaflet width - Measurement	Measurement	Measure terminal leaflet width and record it. Usually recorded 10 weeks after planting; average width of three leaves at the fourth node of five healthy plants.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PetioLng_M_mm	unspecified	"Nursery evaluation, Trial evaluation"		NA	NA	IITA	Michael Abberton?	 	EN	Bambara groundnut	 	Petiole length	Morphological trait	The length of the petiole.	unspecified	PetioLng	NA	Petiole	length	NA	unspecified	 	Petiole length - Measurement	Measurement	Measure petiole length and record it. Usually recorded 10 weeks after planting; average length of three leaves at the fourth node of five healthy plants.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PlntH_M_cm	unspecified	"Nursery evaluation, Trial evaluation"		NA	NA	IITA	Michael Abberton?	 	EN	Bambara groundnut	 	Plant height	Morphological trait	The height of the plant.	unspecified	PlntH	NA	Plant	height	NA	unspecified	 	Plant height - Measurement	Measurement	"Measure plant height and record it. Measured from the ground level (at the base of the plant) to the tip of the highest point, including the terminal leaflet. Usually recorded 10 weeks after planting; average height of five plants."	unspecified	unspecified	 	cm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	IntNodeLng_M_mm	unspecified	Trial evaluation	Harvest	NA	NA	IITA	Michael Abberton?	 	EN	Bambara groundnut	 	Internode length	Morphological trait	The length of internode.	unspecified	IntNodeLng	NA	Internode	length	NA	unspecified	 	Internode length - Measurement	Measurement	Measure the internode length and record it. Usually recorded 10 weeks after planting; average length of fourth internode of three longest stems of five healthy plants.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
