Curation	Variable ID	Variable name	Variable synonyms	Context of use	Growth stage	Variable status	Variable Xref	Institution	Scientist	Date	Language	Crop	Trait ID	Trait name	Trait class	Trait description	Trait synonyms	Main trait abbreviation	Alternative trait abbreviations	Entity	Attribute	Trait status	Trait Xref	Method ID	Method name	Method class	Method description	Formula	Method reference	Scale ID	Scale name	Scale class	Decimal places	Lower limit	Upper limit	Scale Xref	Category 1	Category 2	Category 3	Category 4	Category 5	Category 6	Category 7	Category 8	Category 9	Category 10
 	 	PedLng_M_mm	unspecified	 		NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Peduncle length	Morphological trait	The length of peduncle.	unspecified	PedLng	unspecified	Peduncle	length	NA	unspecified	 	Peduncle length - Measurement	Measurement	Measure the banner length and record it. Usually recorded at the stage of open flower; average length of two peduncles of five healthy plants.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PetioLng_M_mm	unspecified	 		NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Petiole length	Morphological trait	The length of the petiole.	unspecified	PetioLng	unspecified	Petiole	length	NA	unspecified	 	Petiole length - Measurement	Measurement	Measure petiole length and record it. Usually recorded 10 weeks after planting; average length of three leaves at the fourth node of five healthy plants.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PlntSpread_M_cm	unspecified	 		NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Plant spread	Morphological trait	The spread of the plant.	unspecified	PlntSpread	unspecified	Plant	spread	NA	unspecified	 	Plant spread - Measurement	Measurement	Measure plant spread and record it. Usually recorded 10 weeks after planting; average of five plants. Widest length between two opposite points.	unspecified	unspecified	 	cm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PlntH_M_cm	unspecified	 		NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Plant height	Morphological trait	The height of the plant.	unspecified	PlntH	unspecified	Plant	height	NA	unspecified	 	Plant height - Measurement	Measurement	"Measure plant height and record it. Measured from the ground level (at the base of the plant) to the tip of the highest point, including the terminal leaflet. Usually recorded 10 weeks after planting; average height of five plants."	unspecified	unspecified	 	cm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	IntNodeLng_M_mm	unspecified	 	Harvest	NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Internode length	Morphological trait	The length of internode.	unspecified	IntNodeLng	unspecified	Internode	length	NA	unspecified	 	Internode length - Measurement	Measurement	Measure the internode length and record it. Usually recorded 10 weeks after planting; average length of fourth internode of three longest stems of five healthy plants.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PLng_M_mm	unspecified	 	Post-Harvest	NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Pod length	Morphological trait	The length of the pod.	unspecified	PLng	unspecified	Pod	length	NA	unspecified	 	Pod length - Measurement	Measurement	Measure pod length and record it. Usually recorded within two months after harvest; average length of 10 pods.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PWid_M_mm	unspecified	 	Post-Harvest	NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Pod width	Morphological trait	The width of the pod.	unspecified	PWid	unspecified	Pod	width	NA	unspecified	 	Pod width - Measurement	Measurement	Measure pod width and record it. Usually recorded within two months after harvest; average width of 10 pods.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	ShellThk_M_um	unspecified	 	Post-Harvest	NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Shell thickness	Morphological trait	The thickness of the shell.	unspecified	ShellThk	unspecified	Shell	thickness	NA	unspecified	 	Shell thickness - Measurement	Measurement	Measure shell thickness and record it. Usually recorded within two months after harvest; average width of 10 pods.	unspecified	unspecified	 	um	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	SdWid_M_mm	unspecified	 	Post-Harvest	NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Seed width	Morphological trait	The width of seeds.	unspecified	SdWid	unspecified	Seed	width	NA	unspecified	 	Seed width - Measurement	Measurement	Measure seeds length and record it. Usually recorded within two months after harvest; average length of 10 seeds.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	SdWt_Comp_gFrt	unspecified	 	NA	NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Seed weight	Agronomical trait	"The amount (weight) of seed per sample (single, 100, 200, 1000) or plant/plant part."	unspecified	SdWt	unspecified	Seed	Weight	NA	unspecified	 	Seed weight - Computation	Computation	Use formula to calculate seed weight.	unspecified	unspecified	 	g/fruit	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PedLng_M_mm	unspecified	 		NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Peduncle length	Morphological trait	The length of peduncle.	unspecified	PedLng	unspecified	Peduncle	length	NA	unspecified	 	Peduncle length - Measurement	Measurement	Measure the banner length and record it. Usually recorded at the stage of open flower; average length of two peduncles of five healthy plants.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PetioLng_M_mm	unspecified	 		NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Petiole length	Morphological trait	The length of the petiole.	unspecified	PetioLng	unspecified	Petiole	length	NA	unspecified	 	Petiole length - Measurement	Measurement	Measure petiole length and record it. Usually recorded 10 weeks after planting; average length of three leaves at the fourth node of five healthy plants.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PlntSpread_M_cm	unspecified	 		NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Plant spread	Morphological trait	The spread of the plant.	unspecified	PlntSpread	unspecified	Plant	spread	NA	unspecified	 	Plant spread - Measurement	Measurement	Measure plant spread and record it. Usually recorded 10 weeks after planting; average of five plants. Widest length between two opposite points.	unspecified	unspecified	 	cm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PlntH_M_cm	unspecified	 		NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Plant height	Morphological trait	The height of the plant.	unspecified	PlntH	unspecified	Plant	height	NA	unspecified	 	Plant height - Measurement	Measurement	"Measure plant height and record it. Measured from the ground level (at the base of the plant) to the tip of the highest point, including the terminal leaflet. Usually recorded 10 weeks after planting; average height of five plants."	unspecified	unspecified	 	cm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	IntNodeLng_M_mm	unspecified	 	Harvest	NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Internode length	Morphological trait	The length of internode.	unspecified	IntNodeLng	unspecified	Internode	length	NA	unspecified	 	Internode length - Measurement	Measurement	Measure the internode length and record it. Usually recorded 10 weeks after planting; average length of fourth internode of three longest stems of five healthy plants.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PLng_M_mm	unspecified	 	Post-Harvest	NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Pod length	Morphological trait	The length of the pod.	unspecified	PLng	unspecified	Pod	length	NA	unspecified	 	Pod length - Measurement	Measurement	Measure pod length and record it. Usually recorded within two months after harvest; average length of 10 pods.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PWid_M_mm	unspecified	 	Post-Harvest	NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Pod width	Morphological trait	The width of the pod.	unspecified	PWid	unspecified	Pod	width	NA	unspecified	 	Pod width - Measurement	Measurement	Measure pod width and record it. Usually recorded within two months after harvest; average width of 10 pods.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	ShellThk_M_um	unspecified	 	Post-Harvest	NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Shell thickness	Morphological trait	The thickness of the shell.	unspecified	ShellThk	unspecified	Shell	thickness	NA	unspecified	 	Shell thickness - Measurement	Measurement	Measure shell thickness and record it. Usually recorded within two months after harvest; average width of 10 pods.	unspecified	unspecified	 	um	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	SdWid_M_mm	unspecified	 	Post-Harvest	NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Seed width	Morphological trait	The width of seeds.	unspecified	SdWid	unspecified	Seed	width	NA	unspecified	 	Seed width - Measurement	Measurement	Measure seeds length and record it. Usually recorded within two months after harvest; average length of 10 seeds.	unspecified	unspecified	 	mm	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	SdWt_Comp_gFrt	unspecified	 	NA	NA	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Seed weight	Agronomical trait	"The amount (weight) of seed per sample (single, 100, 200, 1000) or plant/plant part."	unspecified	SdWt	unspecified	Seed	Weight	NA	unspecified	 	Seed weight - Computation	Computation	Use formula to calculate seed weight.	unspecified	unspecified	 	g/fruit	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	LfNo_Count_lf	unspecified	 	R1-R8	 	SOY:0000071	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Leaf number	Morphological traits	The number of leaves (petioles) originating from a node on a stem	unspecified	LEAFNUMBER	unspecified	Stem	Leaf number	Standard IITA	unspecified	 	Leaf number count	Counting	Count Physically the number of leaves on a plant	unspecified	unspecified	 	leaf	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PDPL_Comp_PodPlnt	unspecified	 	NA	Recommended	ICRIS:103	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Pods per plant	Morphological traits	Number of pods counted per plant	unspecified	PDPL	unspecified	Plant	Pod number	Recommended	unspecified	 	Pods per plant - Method	Computation	Average number of pods from 3 or 5 randomly selected plants	unspecified	unspecified	 	pods/plant	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	LN_Ct_leaf	unspecified	 		 	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Leaf number	Morphological trait	The number of leaves.	unspecified	LN	unspecified	Leaf	number	NA	unspecified	 	Leaf number - Counting	Counting	"Count leaves in a sampling unit (plot, plant, branch, etc)."	unspecified	unspecified	 	leaf	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	SPL_Avg_SeedPlnt	unspecified	 	After harvest	Deprecated	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Seeds per plant	Agronomical traits	Number of seeds per plant	unspecified	SPL	unspecified	Seed	Number per plant	Deprecated	unspecified	 	Seeds per plant - Method	Computation	Average number of seeds counted for 5 randomly selected plants in a plot at maturity	unspecified	unspecified	 	seed/plant	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PPC_Count_PodPlnt	unspecified	 	Maturity	Recommended	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Pods per plant	Agronomical traits	Number of pods per plant	unspecified	PPL	unspecified	Plant	Number of pods	Recommended	unspecified	 	Pods per plant Count - Method	Counting	Count the number of pods on a plant	unspecified	unspecified	 	pod/plant	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	PPL_Avg_PodPlnt	unspecified	 	Maturity	Recommended	NA	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Pods per plant	Agronomical traits	Number of pods per plant	unspecified	PPL	unspecified	Plant	Number of pods	Recommended	unspecified	 	Pods per plant - Method	Computation	Average number of pods recorded for 5 randomly selected plants in a plot	unspecified	unspecified	 	pod/plant	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	Days to Emergence	unspecified	 	Germination	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Days to Emergence	morphological trait	Number of days from sowing to emergence of first fully expanded leaf	unspecified	NA	unspecified	Plant	Days to Emergence	NA	unspecified	 	NA	Measurement	Number of days from sowing to emergence of first fully expanded leaf	unspecified	unspecified	 	days	Duration	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	Days to 50% Flowering	unspecified	 	Flowering 	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Days to 50% Flowering	morphological trait	Number of days from sowing to when first flower opens on 50% of plant	unspecified	NA	unspecified	Flower	Days to 50% Flowering	NA	unspecified	 	NA	Measurement	Number of days from sowing to when first flower opens on 50% of plant	unspecified	unspecified	 	days	Duration	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	Days to Maturity	unspecified	 	Full maturity	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Days to Maturity	morphological trait	Number of days from sowing to full maturity	unspecified	NA	unspecified	Plant	Days to Maturity	NA	unspecified	 	NA	Measurement	Number of days from sowing to full maturity	unspecified	unspecified	 	days	Duration	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	 	unspecified	 	10WAP	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	leaflet length	morphological trait	Length of median leaflet at the fourth internode 	unspecified	NA	unspecified	Leafllet	 length	NA	unspecified	 	NA	Measurement	Length of median leaflet at the fourth internode 	unspecified	unspecified	 	millimeters (mm)	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 		unspecified	 	10WAP	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Leaflet width	morphological trait	Average width of three leaves at the fourth node of five healthy plants	unspecified	NA	unspecified	Leafllet	width	NA	unspecified	 	NA	Measurement	Average width of three leaves at the fourth node of five healthy plants	unspecified	unspecified	 	millimeters (mm)	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 		unspecified	 	Growth	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Petiole-internode ratio	morphological trait	The ratio of measurement of the petiole to internode	unspecified	NA	unspecified	Petiole internode	ratio	NA	unspecified	 	NA	Measurement	The ratio of measurement of the petiole to internode	unspecified	unspecified	 	ratio	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 		unspecified	 	harvest	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Pod dry weight	agronomical trait	Average weight of pods taken from 5 plants per plot 	unspecified	NA	unspecified	Plant	Pod dry weight	NA	unspecified	 	NA	Measurement	Average weight of pods taken from 5 plants per plot 	unspecified	unspecified	 	gram (g)	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 		unspecified	 	harvest	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	seed length	agronomical trait	Average of seed length from 5 seeds taken per plot	unspecified	NA	unspecified	Seed	length	NA	unspecified	 	NA	Measurement	Average of seed length from 5 seeds taken per plot	unspecified	unspecified	 	millimeters (mm)	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 		unspecified	 	harvest	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Single seed weight	agronomical trait	Average of 100 seed weight	unspecified	NA	unspecified	Seed	Single seed weight	NA	unspecified	 	NA	Measurement	Average of 100 seed weight	unspecified	unspecified	 	gram (g)	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 		unspecified	 	harvest	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Shoot Dry Weight	agronomical trait	Weight of aboveground  biomassof harvested plants	unspecified	NA	unspecified	Shoot	Dry Weight	NA	unspecified	 	NA	Measurement	Weight of aboveground  biomassof harvested plants	unspecified	unspecified	 	gram (g)	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 		unspecified	 	harvest	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Shell weight	agronomical trait	100 dry pods  weighed then shelled  	unspecified	NA	unspecified	Seed	Shell weight	NA	unspecified	 	NA	Measurement	100 dry pods  weighed then shelled  	unspecified	unspecified	 	gram (g)	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 		unspecified	 	harvest	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Shelling %	agronomical trait	Average percentage of 10 pods based on weight of mature seeds (at 12% moinsture content)	unspecified	NA	unspecified	Seed	Shelling %	NA	unspecified	 	NA	Counting	Average percentage of 10 pods based on weight of mature seeds (at 12% moinsture content)	unspecified	unspecified	 	percentage (%)	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 		unspecified	 	harvest	unspecified 	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Number of stems	agronomical trait	Number of stem recorded from selected plants	unspecified	NA	unspecified	Stems	Number	NA	unspecified	 	NA	Counting	Number of stem recorded from selected plants	unspecified	unspecified	 	number	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	NA	unspecified	 	Germination	unspecified	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Days to Emergence	morphological trait	Number of days from sowing to emergence of first fully expanded leaf	unspecified	NA	unspecified	Plant	Days to Emergence	NA	unspecified	 	NA	Measurement	Number of days from sowing to emergence of first fully expanded leaf	unspecified	unspecified	 	days	Duration	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	NA	unspecified	 	Flowering 	unspecified	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Days to 50% Flowering	morphological trait	Number of days from sowing to when first flower opens on 50% of plant	unspecified	NA	unspecified	Flower	Days to 50% Flowering	NA	unspecified	 	NA	Measurement	Number of days from sowing to when first flower opens on 50% of plant	unspecified	unspecified	 	days	Duration	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	NA	unspecified	 	Full maturity	unspecified	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	Days to Maturity	morphological trait	Number of days from sowing to full maturity	unspecified	NA	unspecified	Plant	Days to Maturity	NA	unspecified	 	NA	Measurement	Number of days from sowing to full maturity	unspecified	unspecified	 	days	Duration	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
 	 	NA	unspecified	 	10WAP	unspecified	unspecified	UoN	Razlin Azman razlin.azman@cffresearch.org	1000-01-01	EN	Bambara groundnut	 	leaflet length	morphological trait	Length of median leaflet at the fourth internode 	unspecified	NA	unspecified	Leafllet	 length	NA	unspecified	 	NA	Measurement	Length of median leaflet at the fourth internode 	unspecified	unspecified	 	millimeters (mm)	Numerical	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified
