nott_DAE_01_GH,early; late,Number of days from sowing to emergence of first fully expanded leaf,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_DAF_01_GH,early; late,Number of days from sowing to when first flower opens on 50% of plant,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_DAM_01_GH,early; late,Number of days from sowing to full maturity,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_LFN_01_GH,1;2;3;4,Total number of leaves present per plant ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_LFL_01_GH,1;2;3;4,Length of median leaflet at the fourth internode ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_LFW_01_GH,1;2;3;4,Average width of three leaves at the fourth node of five healthy plants,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_ITN_01_IN,1;2;3;4,Length of fourth internode of the longest stem,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_PTL_01_GH,"1:1; 1:2, 1:3",Measurement from stem node to the junction of the three leaflets  at the longest stem at the fourth node ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_PIT_01_GH,1; 2; 3,The ratio of measurement of the petiole to internode,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_PLL_01_GH,1; 2; 3,Measured at the base of the leaflet of the longest petiolule at fourth internode ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_PEL_01_GH,1; 2; 3,Measured on the fourth internode of the longest stem,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_PLS_01_GH,1; 2; 3,"Average widest length between two opposite points, of 5 plants",odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_PLH_01_GH,1; 2; 3,"Measured from base of the plant to the tip of the highestpoint, including the terminal leaflet of 5 plants",odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_PDN_01_GH,1;2;3;4,Average number of pods recorded from 5 plants  per plot,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
